rank,word,POS,frequency
252,head,n,160131
253,far,r,148621
254,black,j,150718
255,long,j,149050
256,both,d,146338
257,little,j,149658
258,house,n,149251
259,yes,u,157364
260,after,c,142289
261,since,c,141264
262,long,r,142007
263,provide,v,150879
264,service,n,146122
265,around,i,143766
266,friend,n,142697
267,important,j,144194
268,father,n,145051
269,sit,v,147185
270,away,r,144713
271,until,c,140819
272,power,n,141357
273,hour,n,138955
274,game,n,146311
275,often,r,140731
276,yet,r,135484
277,line,n,135986
278,political,j,144437
279,end,n,134104
280,among,i,138192
281,ever,r,135774
282,stand,v,140937
283,bad,j,134910
284,lose,v,134102
285,however,r,142282
286,member,n,134731
287,pay,v,133133
288,law,n,133706
289,meet,v,128737
290,car,n,133571
291,city,n,132684
292,almost,r,127907
293,include,v,133563
294,continue,v,126029
295,set,v,127369
296,later,r,126495
297,community,n,133057
298,much,r,126029
299,name,n,127139
300,five,m,125571
301,once,r,126203
302,white,j,126760
303,least,r,123961
304,president,n,134203
305,learn,v,124346
306,real,j,124187
307,change,v,123183
308,team,n,131489
309,minute,n,126660
310,best,j,124850
311,several,d,124039
312,idea,n,122140
313,kid,n,126428
314,body,n,125165
315,information,n,127331
316,nothing,p,126717
317,ago,r,125252
318,right,j,126278
319,lead,v,122691
320,social,j,132899
321,understand,v,121354
322,whether,c,121921
323,back,n,125006
324,watch,v,124976
325,together,r,119186
326,follow,v,119425
327,around,r,122789
328,parent,n,119610
329,only,j,117700
330,stop,v,121481
331,face,n,127291
332,anything,p,120292
333,create,v,119419
334,public,j,119825
335,already,r,115220
336,speak,v,117358
337,others,n,115771
338,read,v,114094
339,level,n,121704
340,allow,v,114892
341,add,v,117842
342,office,n,114791
343,spend,v,114569
344,door,n,124993
345,health,n,117762
346,person,n,113650
347,art,n,117851
348,sure,j,116186
349,such,i,119125
350,war,n,117804
351,history,n,114904
352,party,n,112962
353,within,i,114599
354,grow,v,110020
355,result,n,116277
356,open,v,111857
357,change,n,112426
358,morning,n,114002
359,walk,v,113787
360,reason,n,106863
361,low,j,108990
362,win,v,111478
363,research,n,114802
364,girl,n,110409
365,guy,n,110409
366,early,j,108171
367,food,n,107728
368,before,c,107448
369,moment,n,109720
370,himself,p,109288
371,air,n,105932
372,teacher,n,116100
373,force,n,108005
374,offer,v,106473
375,enough,r,105880
376,both,r,106361
377,education,n,113731
378,across,i,105559
379,although,c,107925
380,remember,v,106879
381,foot,n,107285
382,second,m,103621
383,boy,n,107447
384,maybe,r,108421
385,toward,i,105984
386,able,j,103171
387,age,n,103402
388,off,i,104122
389,policy,n,107601
390,everything,p,103591
391,love,v,103681
392,process,n,107341
393,music,n,102657
394,including,i,103650
395,consider,v,101987
396,appear,v,100671
397,actually,r,105155
398,buy,v,101105
399,probably,r,99754
400,human,j,101224
401,wait,v,102463
402,serve,v,99660
403,market,n,100435
404,die,v,98376
405,send,v,96613
406,expect,v,95566
407,home,r,97937
408,sense,n,95896
409,build,v,96651
410,stay,v,96933
411,fall,v,96908
412,oh,u,103613
413,nation,n,97212
414,plan,n,95824
415,cut,v,96012
416,college,n,97038
417,interest,n,96620
418,death,n,93222
419,course,r,96224
420,someone,p,95608
421,experience,n,98106
422,behind,i,95047
423,reach,v,92375
424,local,j,92970
425,kill,v,92660
426,six,m,90571
427,remain,v,91319
428,effect,n,95216
429,use,n,96564
430,yeah,u,103389
431,suggest,v,92643
432,class,n,91323
433,control,n,90301
434,raise,v,87036
435,care,n,88862
436,perhaps,r,87060
437,little,r,88697
438,late,j,86421
439,hard,j,86817
440,field,n,87243
441,else,r,87876
442,pass,v,86184
443,former,d,88930
444,sell,v,87865
445,major,j,87487
446,sometimes,r,84845
447,require,v,89280
448,along,i,84926
449,development,n,91995
450,themselves,p,85256
451,report,v,88138
452,role,n,88666
453,better,j,83895
454,economic,j,90392
455,effort,n,86473
456,up,i,85759
457,decide,v,84035
458,rate,n,87224
459,strong,j,83677
460,possible,j,85084
461,heart,n,84536
462,drug,n,86231
463,show,n,86828
464,leader,n,85438
465,light,n,87427
466,voice,n,89379
467,wife,n,83601
468,whole,j,83756
469,police,n,85880
470,mind,n,82808
471,finally,r,81951
472,pull,v,87243
473,return,v,81812
474,free,j,82090
475,military,j,85152
476,price,n,84443
477,report,n,83174
478,less,r,82930
479,according,i,83773
480,decision,n,82429
481,explain,v,80797
482,son,n,80895
483,hope,v,81385
484,even,c,79087
485,develop,v,84835
486,view,n,81338
487,relationship,n,84549
488,carry,v,79513
489,town,n,79821
490,road,n,80987
491,drive,v,80476
492,arm,n,84865
493,true,j,79299
494,federal,j,81826
495,break,v,79310
496,better,r,78334
497,difference,n,82911
498,thank,v,88574
499,receive,v,80250
500,value,,
