,word,filepath,signer
62,size,video_data/numpy_prob3/size.npy,signer3
63,this,video_data/numpy_prob3/this.npy,signer3
64,where,video_data/numpy_prob3/where.npy,signer3
65,while,video_data/numpy_prob3/while.npy,signer3
66,with,video_data/numpy_prob3/with.npy,signer3
67,yet,video_data/numpy_prob3/yet.npy,signer3
68,you,video_data/numpy_prob3/you.npy,signer3
69,your,video_data/numpy_prob3/your.npy,signer3
70,begin,video_data/numpy_prob3/begin.npy,signer4
71,bit,video_data/numpy_prob3/bit.npy,signer4
72,car,video_data/numpy_prob3/car.npy,signer4
73,city,video_data/numpy_prob3/city.npy,signer4
74,college,video_data/numpy_prob3/college.npy,signer4
75,come,video_data/numpy_prob3/come.npy,signer4
76,company,video_data/numpy_prob3/company.npy,signer4
77,continue,video_data/numpy_prob3/continue.npy,signer4
78,each,video_data/numpy_prob3/each.npy,signer4
79,even,video_data/numpy_prob3/even.npy,signer4
80,everyone,video_data/numpy_prob3/everyone.npy,signer4
81,example,video_data/numpy_prob3/example.npy,signer4
82,executive,video_data/numpy_prob3/executive.npy,signer4
83,expert,video_data/numpy_prob3/expert.npy,signer4
84,explain,video_data/numpy_prob3/explain.npy,signer4
85,find,video_data/numpy_prob3/find.npy,signer4
86,for,video_data/numpy_prob3/for.npy,signer4
87,game,video_data/numpy_prob3/game.npy,signer4
88,group,video_data/numpy_prob3/group.npy,signer4
89,he,video_data/numpy_prob3/he.npy,signer4
90,here,video_data/numpy_prob3/here.npy,signer4
91,how,video_data/numpy_prob3/how.npy,signer4
92,however,video_data/numpy_prob3/however.npy,signer4
93,include,video_data/numpy_prob3/include.npy,signer4
94,interest,video_data/numpy_prob3/interest.npy,signer4
95,job,video_data/numpy_prob3/job.npy,signer4
96,later,video_data/numpy_prob3/later.npy,signer4
97,law,video_data/numpy_prob3/law.npy,signer4
98,let,video_data/numpy_prob3/let.npy,signer4
99,line,video_data/numpy_prob3/line.npy,signer4
100,lose,video_data/numpy_prob3/lose.npy,signer4
101,major,video_data/numpy_prob3/major.npy,signer4
102,me,video_data/numpy_prob3/me.npy,signer4
103,mean,video_data/numpy_prob3/mean.npy,signer4
104,meet,video_data/numpy_prob3/meet.npy,signer4
105,member,video_data/numpy_prob3/member.npy,signer4
106,much,video_data/numpy_prob3/much.npy,signer4
107,now,video_data/numpy_prob3/now.npy,signer4
108,often,video_data/numpy_prob3/often.npy,signer4
109,on,video_data/numpy_prob3/on.npy,signer4
110,out,video_data/numpy_prob3/out.npy,signer4
111,power,video_data/numpy_prob3/power.npy,signer4
112,program,video_data/numpy_prob3/program.npy,signer4
113,quality,video_data/numpy_prob3/quality.npy,signer4
114,question,video_data/numpy_prob3/question.npy,signer4
115,quickly,video_data/numpy_prob3/quickly.npy,signer4
116,recognize,video_data/numpy_prob3/recognize.npy,signer4
117,right,video_data/numpy_prob3/right.npy,signer4
118,say,video_data/numpy_prob3/say.npy,signer4
119,seem,video_data/numpy_prob3/seem.npy,signer4
120,set,video_data/numpy_prob3/set.npy,signer4
121,sign,video_data/numpy_prob3/sign.npy,signer4
122,six,video_data/numpy_prob3/six.npy,signer4
123,so,video_data/numpy_prob3/so.npy,signer4
124,student,video_data/numpy_prob3/student.npy,signer4
125,than,video_data/numpy_prob3/than.npy,signer4
126,that,video_data/numpy_prob3/that.npy,signer4
127,they,video_data/numpy_prob3/they.npy,signer4
128,thing,video_data/numpy_prob3/thing.npy,signer4
129,where,video_data/numpy_prob3/where.npy,signer4
130,with,video_data/numpy_prob3/with.npy,signer4
131,you,video_data/numpy_prob3/you.npy,signer4
132,account,video_data/numpy_prob3/account.npy,signer5
133,aids,video_data/numpy_prob3/aids.npy,signer5
134,air,video_data/numpy_prob3/air.npy,signer5
135,ally,video_data/numpy_prob3/ally.npy,signer5
136,apt,video_data/numpy_prob3/apt.npy,signer5
137,art,video_data/numpy_prob3/art.npy,signer5
138,asl,video_data/numpy_prob3/asl.npy,signer5
139,back,video_data/numpy_prob3/back.npy,signer5
140,bail,video_data/numpy_prob3/bail.npy,signer5
141,bank,video_data/numpy_prob3/bank.npy,signer5
142,bar,video_data/numpy_prob3/bar.npy,signer5
143,bee,video_data/numpy_prob3/bee.npy,signer5
144,beef,video_data/numpy_prob3/beef.npy,signer5
145,beet,video_data/numpy_prob3/beet.npy,signer5
146,bill,video_data/numpy_prob3/bill.npy,signer5
147,billion,video_data/numpy_prob3/billion.npy,signer5
148,burn,video_data/numpy_prob3/burn.npy,signer5
149,bursary,video_data/numpy_prob3/bursary.npy,signer5
150,but,video_data/numpy_prob3/but.npy,signer5
151,cabin,video_data/numpy_prob3/cabin.npy,signer5
152,cable,video_data/numpy_prob3/cable.npy,signer5
153,campus,video_data/numpy_prob3/campus.npy,signer5
154,cancer,video_data/numpy_prob3/cancer.npy,signer5
155,car,video_data/numpy_prob3/car.npy,signer5
156,cash,video_data/numpy_prob3/cash.npy,signer5
157,cast,video_data/numpy_prob3/cast.npy,signer5
158,cave,video_data/numpy_prob3/cave.npy,signer5
159,cavity,video_data/numpy_prob3/cavity.npy,signer5
160,cell,video_data/numpy_prob3/cell.npy,signer5
161,cement,video_data/numpy_prob3/cement.npy,signer5
162,ceramic,video_data/numpy_prob3/ceramic.npy,signer5
163,chalk,video_data/numpy_prob3/chalk.npy,signer5
164,chef,video_data/numpy_prob3/chef.npy,signer5
165,civil,video_data/numpy_prob3/civil.npy,signer5
166,claim,video_data/numpy_prob3/claim.npy,signer5
167,clay,video_data/numpy_prob3/clay.npy,signer5
168,clinic,video_data/numpy_prob3/clinic.npy,signer5
169,clot,video_data/numpy_prob3/clot.npy,signer5
170,club,video_data/numpy_prob3/club.npy,signer5
171,clue,video_data/numpy_prob3/clue.npy,signer5
172,cocoa,video_data/numpy_prob3/cocoa.npy,signer5
173,coda,video_data/numpy_prob3/coda.npy,signer5
174,coke,video_data/numpy_prob3/coke.npy,signer5
175,coma,video_data/numpy_prob3/coma.npy,signer5
176,comics,video_data/numpy_prob3/comics.npy,signer5
177,condo,video_data/numpy_prob3/condo.npy,signer5
178,cool,video_data/numpy_prob3/cool.npy,signer5
179,core,video_data/numpy_prob3/core.npy,signer5
180,cork,video_data/numpy_prob3/cork.npy,signer5
181,cottage,video_data/numpy_prob3/cottage.npy,signer5
182,cotton,video_data/numpy_prob3/cotton.npy,signer5
183,council,video_data/numpy_prob3/council.npy,signer5
184,cozy,video_data/numpy_prob3/cozy.npy,signer5
185,craft,video_data/numpy_prob3/craft.npy,signer5
186,crime,video_data/numpy_prob3/crime.npy,signer5
187,crop,video_data/numpy_prob3/crop.npy,signer5
188,crystal,video_data/numpy_prob3/crystal.npy,signer5
189,cult,video_data/numpy_prob3/cult.npy,signer5
190,custody,video_data/numpy_prob3/custody.npy,signer5
191,cyst,video_data/numpy_prob3/cyst.npy,signer5
192,data,video_data/numpy_prob3/data.npy,signer5
193,date,video_data/numpy_prob3/date.npy,signer5
194,deal,video_data/numpy_prob3/deal.npy,signer5
195,deli,video_data/numpy_prob3/deli.npy,signer5
196,dene,video_data/numpy_prob3/dene.npy,signer5
197,diet,video_data/numpy_prob3/diet.npy,signer5
198,disco,video_data/numpy_prob3/disco.npy,signer5
199,dna,video_data/numpy_prob3/dna.npy,signer5
200,dog,video_data/numpy_prob3/dog.npy,signer5
201,draft,video_data/numpy_prob3/draft.npy,signer5
202,drug,video_data/numpy_prob3/drug.npy,signer5
203,due,video_data/numpy_prob3/due.npy,signer5
204,dust,video_data/numpy_prob3/dust.npy,signer5
205,dvd,video_data/numpy_prob3/dvd.npy,signer5
206,extra,video_data/numpy_prob3/extra.npy,signer5
207,fact,video_data/numpy_prob3/fact.npy,signer5
208,fate,video_data/numpy_prob3/fate.npy,signer5
209,fee,video_data/numpy_prob3/fee.npy,signer5
210,flu,video_data/numpy_prob3/flu.npy,signer5
211,fly,video_data/numpy_prob3/fly.npy,signer5
212,fog,video_data/numpy_prob3/fog.npy,signer5
213,foot,video_data/numpy_prob3/foot.npy,signer5
214,free,video_data/numpy_prob3/free.npy,signer5
215,fun,video_data/numpy_prob3/fun.npy,signer5
216,gas,video_data/numpy_prob3/gas.npy,signer5
217,ghetto,video_data/numpy_prob3/ghetto.npy,signer5
218,gift,video_data/numpy_prob3/gift.npy,signer5
219,grant,video_data/numpy_prob3/grant.npy,signer5
220,hall,video_data/numpy_prob3/hall.npy,signer5
221,hero,video_data/numpy_prob3/hero.npy,signer5
222,hiv,video_data/numpy_prob3/hiv.npy,signer5
223,hole,video_data/numpy_prob3/hole.npy,signer5
224,hurt,video_data/numpy_prob3/hurt.npy,signer5
225,ice,video_data/numpy_prob3/ice.npy,signer5
226,if,video_data/numpy_prob3/if.npy,signer5
227,ink,video_data/numpy_prob3/ink.npy,signer5
228,invoice,video_data/numpy_prob3/invoice.npy,signer5
229,jerk,video_data/numpy_prob3/jerk.npy,signer5
230,jersey,video_data/numpy_prob3/jersey.npy,signer5
231,joke,video_data/numpy_prob3/joke.npy,signer5
232,junk,video_data/numpy_prob3/junk.npy,signer5
233,lego,video_data/numpy_prob3/lego.npy,signer5
234,logo,video_data/numpy_prob3/logo.npy,signer5
235,lynx,video_data/numpy_prob3/lynx.npy,signer5
236,mayo,video_data/numpy_prob3/mayo.npy,signer5
237,million,video_data/numpy_prob3/million.npy,signer5
238,mini,video_data/numpy_prob3/mini.npy,signer5
239,mold,video_data/numpy_prob3/mold.npy,signer5
240,moral,video_data/numpy_prob3/moral.npy,signer5
241,mortgage,video_data/numpy_prob3/mortgage.npy,signer5
242,mri,video_data/numpy_prob3/mri.npy,signer5
243,mud,video_data/numpy_prob3/mud.npy,signer5
244,myth,video_data/numpy_prob3/myth.npy,signer5
245,numb,video_data/numpy_prob3/numb.npy,signer5
246,obe,video_data/numpy_prob3/obe.npy,signer5
247,ocd,video_data/numpy_prob3/ocd.npy,signer5
248,odd,video_data/numpy_prob3/odd.npy,signer5
249,off,video_data/numpy_prob3/off.npy,signer5
250,oil,video_data/numpy_prob3/oil.npy,signer5
251,on,video_data/numpy_prob3/on.npy,signer5
252,or,video_data/numpy_prob3/or.npy,signer5
253,own,video_data/numpy_prob3/own.npy,signer5
254,pea,video_data/numpy_prob3/pea.npy,signer5
255,pet,video_data/numpy_prob3/pet.npy,signer5
256,phoneme,video_data/numpy_prob3/phoneme.npy,signer5
257,prom,video_data/numpy_prob3/prom.npy,signer5
258,pudding,video_data/numpy_prob3/pudding.npy,signer5
259,quiz,video_data/numpy_prob3/quiz.npy,signer5
260,quota,video_data/numpy_prob3/quota.npy,signer5
261,rabbi,video_data/numpy_prob3/rabbi.npy,signer5
262,rape,video_data/numpy_prob3/rape.npy,signer5
263,rare,video_data/numpy_prob3/rare.npy,signer5
264,recipe,video_data/numpy_prob3/recipe.npy,signer5
265,rice,video_data/numpy_prob3/rice.npy,signer5
266,rich,video_data/numpy_prob3/rich.npy,signer5
267,risk,video_data/numpy_prob3/risk.npy,signer5
268,root,video_data/numpy_prob3/root.npy,signer5
269,rug,video_data/numpy_prob3/rug.npy,signer5
270,siesta,video_data/numpy_prob3/siesta.npy,signer5
271,slum,video_data/numpy_prob3/slum.npy,signer5
272,snack,video_data/numpy_prob3/snack.npy,signer5
273,so,video_data/numpy_prob3/so.npy,signer5
274,style,video_data/numpy_prob3/style.npy,signer5
275,sue,video_data/numpy_prob3/sue.npy,signer5
276,sure,video_data/numpy_prob3/sure.npy,signer5
277,taco,video_data/numpy_prob3/taco.npy,signer5
278,tar,video_data/numpy_prob3/tar.npy,signer5
279,too,video_data/numpy_prob3/too.npy,signer5
280,tool,video_data/numpy_prob3/tool.npy,signer5
281,toy,video_data/numpy_prob3/toy.npy,signer5
282,truck,video_data/numpy_prob3/truck.npy,signer5
283,tryout,video_data/numpy_prob3/tryout.npy,signer5
284,tuition,video_data/numpy_prob3/tuition.npy,signer5
285,update,video_data/numpy_prob3/update.npy,signer5
286,van,video_data/numpy_prob3/van.npy,signer5
287,vanilla,video_data/numpy_prob3/vanilla.npy,signer5
288,wfd,video_data/numpy_prob3/wfd.npy,signer5
289,what,video_data/numpy_prob3/what.npy,signer5
290,wild,video_data/numpy_prob3/wild.npy,signer5
291,will,video_data/numpy_prob3/will.npy,signer5
292,yard,video_data/numpy_prob3/yard.npy,signer5
293,yoga,video_data/numpy_prob3/yoga.npy,signer5
294,yoyo,video_data/numpy_prob3/yoyo.npy,signer5
295,zoo,video_data/numpy_prob3/zoo.npy,signer5
